Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
Свободное назначение · 214 м²,158000000,738318,Алматы,,2010.0,214.0,24 нояб.,138
Офисы · 655 м²,556750000,850000,Алматы,,2023.0,655.0,24 нояб.,274
Свободное назначение · 3700 м²,660000000,178378,Алматы,,,3700.0,24 нояб.,3472
Магазины и бутики · 34 м²,25000000,735294,Алматы,,2000.0,34.0,25 нояб.,355
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты · 182.7 м²",35000000,191571,Алматы,,2021.0,182.7,24 нояб.,8554
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 157 м²",28000000,178344,Алматы,,2023.0,157.0,25 нояб.,474
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 48.6 м²",51000000,1049383,Алматы,,1958.0,48.6,25 нояб.,520
Магазины и бутики · 100 м²,72000000,720000,Алматы,,2007.0,100.0,25 нояб.,2229
"Магазины и бутики, азс, автосервисы и автомойки · 617 м²",1250000000,2025932,Алматы,,2010.0,617.0,24 нояб.,2396
"Офисы, магазины и бутики, склады, азс, автосервисы и автомойки · 450 м²",175000000,388889,Алматы,,1980.0,450.0,25 нояб.,706
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, образование, развлечения · 65 м²",37000000,569231,Алматы,,2018.0,65.0,24 нояб.,1343
"Свободное назначение, офисы · 239 м²",90630000,379205,Алматы,,2019.0,239.0,25 нояб.,679
"Свободное назначение, офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2556 м²",1500000000,586854,Алматы,,2007.0,2556.0,24 нояб.,1850
Магазины и бутики · 1500 м²,800000000,533333,Алматы,,2022.0,1500.0,24 нояб.,298
Свободное назначение · 903 м²,400000000,442968,Алматы,Турксибский,2004.0,903.0,25 нояб.,1499
Офисы · 288 м²,149999999,520833,Алматы,,1987.0,288.0,24 нояб.,6190
Офисы · 26 м²,32000000,1230769,Алматы,,2015.0,26.0,24 нояб.,5195
"Образование, развлечения · 209.5 м²",75000000,357995,Алматы,Бостандыкский,2018.0,209.5,25 нояб.,697
Офисы · 180 м²,210000000,1166667,Алматы,,2007.0,180.0,25 нояб.,757
"Свободное назначение, офисы · 654.7 м²",556495000,850000,Алматы,,2022.0,654.7,24 нояб.,737
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 150 м²",215000000,1433333,Алматы,Медеуский,1992.0,150.0,25 нояб.,318
Свободное назначение · 85 м²,143000000,1682353,Алматы,Медеуский,,85.0,25 нояб.,277
"Офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 207 м²",180000000,869565,Алматы,Бостандыкский,2004.0,207.0,25 нояб.,813
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование · 100 м²",75000000,750000,Алматы,Бостандыкский,2006.0,100.0,25 нояб.,2825
Офисы · 52.9 м²,59500000,1124764,Алматы,Бостандыкский,2015.0,52.9,25 нояб.,606
Свободное назначение · 45 м²,36000000,800000,Алматы,,2013.0,45.0,25 нояб.,1214
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1050 м²",1200000000,1142857,Алматы,,2024.0,1050.0,24 нояб.,1474
"Свободное назначение, офисы, склады, азс, автосервисы и автомойки · 150 м²",47000000,313333,Алматы,,2007.0,150.0,25 нояб.,1007
Магазины и бутики · 700 м²,1400000000,2000000,Алматы,,,700.0,24 нояб.,1085
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование · 250 м²",45000000,180000,Алматы,,2010.0,250.0,24 нояб.,1976
Салоны красоты · 65.42 м²,82000000,1253439,Алматы,Наурызбайский,2010.0,65.42,25 нояб.,310
