Название,Цена(тенге),Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м),Этаж,Дата,Просмотрено
2-комнатная квартира · 65 м²,52500000,Алматы,,2023.0,2,65.0,,24 нояб.,1273
1-комнатная квартира · 31.3 м² · 2/4 этаж,37000000,Алматы,,1975.0,1,31.3,2.0,24 нояб.,101
2-комнатная квартира · 44.4 м² · 1/4 этаж,27000000,Алматы,,1963.0,2,44.4,1.0,24 нояб.,40
2-комнатная квартира · 41 м² · 4/4 этаж,24500000,Алматы,,1974.0,2,41.0,4.0,24 нояб.,259
2-комнатная квартира · 45.5 м² · 6/12 этаж,44000000,Алматы,,2024.0,2,45.5,6.0,24 нояб.,967
4-комнатная квартира · 155.48 м²,272090000,Алматы,,2024.0,4,155.48,,24 нояб.,3898
3-комнатная квартира · 72 м² · 1/9 этаж,47000000,Алматы,,1989.0,3,72.0,1.0,24 нояб.,3314
1-комнатная квартира · 47.37 м²,63949500,Алматы,,2024.0,1,47.37,,24 нояб.,2308
1-комнатная квартира · 46.8 м²,27144000,Алматы,,2025.0,1,46.8,,24 нояб.,3751
2-комнатная квартира · 46.03 м²,17000000,Алматы,,2024.0,2,46.03,,24 нояб.,12341
2-комнатная квартира · 60.1 м² · 6/20 этаж,55000000,Алматы,,2012.0,2,60.1,6.0,24 нояб.,856
2-комнатная квартира · 54 м² · 5/5 этаж,37000000,Алматы,,1982.0,2,54.0,5.0,24 нояб.,731
3-комнатная квартира · 93 м² · 9/12 этаж,72000000,Алматы,,2014.0,3,93.0,9.0,24 нояб.,175
1-комнатная квартира · 21.1 м² · 2/3 этаж,10500000,Алматы,,2023.0,1,21.1,2.0,24 нояб.,4609
3-комнатная квартира · 66 м² · 4/16 этаж,55400000,Алматы,,2022.0,3,66.0,4.0,24 нояб.,666
3-комнатная квартира · 62 м² · 3/5 этаж,38000000,Алматы,,1978.0,3,62.0,3.0,24 нояб.,401
3-комнатная квартира · 56 м²,38000000,Алматы,,1971.0,3,56.0,,24 нояб.,150
3-комнатная квартира · 93 м² · 5/17 этаж,67000000,Алматы,,2014.0,3,93.0,5.0,24 нояб.,619
2-комнатная квартира · 69 м² · 11/11 этаж,47500000,Алматы,,2011.0,2,69.0,11.0,24 нояб.,322
2-комнатная квартира · 44.7 м² · 4/5 этаж,37000000,Алматы,,1976.0,2,44.7,4.0,24 нояб.,493
3-комнатная квартира · 106 м² · 3/9 этаж,43500000,Алматы,,2021.0,3,106.0,3.0,24 нояб.,12359
3-комнатная квартира · 72.9 м² · 8/9 этаж,54500000,Алматы,,1993.0,3,72.9,8.0,24 нояб.,419
2-комнатная квартира · 66.8 м² · 1/9 этаж,55500000,Алматы,,1992.0,2,66.8,1.0,24 нояб.,1758
2-комнатная квартира · 90.1 м² · 3/13 этаж,65000000,Алматы,,2010.0,2,90.1,3.0,24 нояб.,4986
3-комнатная квартира · 60 м² · 4/5 этаж,32500000,Алматы,,1985.0,3,60.0,4.0,24 нояб.,3063
1-комнатная квартира · 21 м² · 1/4 этаж,12500000,Алматы,,1972.0,1,21.0,1.0,24 нояб.,1485
1-комнатная квартира · 40 м² · 2/9 этаж,24000000,Алматы,,2014.0,1,40.0,2.0,24 нояб.,221
1-комнатная квартира · 30 м² · 9/10 этаж,18500000,Алматы,,2011.0,1,30.0,9.0,24 нояб.,5085
5-комнатная квартира · 230 м² · 2/4 этаж,150000000,Алматы,,2013.0,5,230.0,2.0,24 нояб.,499
2-комнатная квартира · 55 м² · 7/10 этаж,54500000,Алматы,,2019.0,2,55.0,7.0,24 нояб.,57
3-комнатная квартира · 113 м² · 7/20 этаж,145000000,Алматы,,2019.0,3,113.0,7.0,24 нояб.,88
1-комнатная квартира · 44.5 м² · 1/9 этаж,28000000,Алматы,,2023.0,1,44.5,1.0,24 нояб.,973
1-комнатная квартира · 33 м² · 2/9 этаж,31700000,Алматы,,2016.0,1,33.0,2.0,24 нояб.,2374
2-комнатная квартира · 44 м² · 2/5 этаж,31000000,Алматы,,1973.0,2,44.0,2.0,24 нояб.,220
3-комнатная квартира · 67 м² · 8/9 этаж,48000000,Алматы,,2016.0,3,67.0,8.0,24 нояб.,1351
3-комнатная квартира · 132 м² · 8/16 этаж,52000000,Алматы,,2012.0,3,132.0,8.0,24 нояб.,355
3-комнатная квартира · 80 м² · 6/9 этаж,43500000,Алматы,,2011.0,3,80.0,6.0,24 нояб.,790
2-комнатная квартира · 64.4 м² · 3/10 этаж,42000000,Алматы,,2012.0,2,64.4,3.0,24 нояб.,4734
2-комнатная квартира · 44.9 м² · 5/5 этаж,37500000,Алматы,,1977.0,2,44.9,5.0,24 нояб.,1127
1-комнатная квартира · 31 м² · 2/4 этаж,23500000,Алматы,,1964.0,1,31.0,2.0,24 нояб.,7602
1-комнатная квартира · 33.6 м² · 1/5 этаж,39900000,Алматы,,1975.0,1,33.6,1.0,24 нояб.,2849
3-комнатная квартира · 120 м² · 5/20 этаж,150000000,Алматы,,2019.0,3,120.0,5.0,24 нояб.,5102
3-комнатная квартира · 107 м² · 1/12 этаж,85000000,Алматы,,2019.0,3,107.0,1.0,24 нояб.,3888
2-комнатная квартира · 61.5 м² · 1/13 этаж,47500000,Алматы,,2015.0,2,61.5,1.0,24 нояб.,1122
3-комнатная квартира · 80 м² · 11/16 этаж,77600000,Алматы,,2019.0,3,80.0,11.0,24 нояб.,1982
2-комнатная квартира · 51 м² · 3/5 этаж,44000000,Алматы,,1968.0,2,51.0,3.0,24 нояб.,656
2-комнатная квартира · 46 м² · 7/10 этаж,29500000,Алматы,,2020.0,2,46.0,7.0,24 нояб.,105
1-комнатная квартира · 45 м² · 4/10 этаж,26000000,Алматы,,2021.0,1,45.0,4.0,24 нояб.,618
3-комнатная квартира · 60 м² · 5/5 этаж,28500000,Алматы,,1984.0,3,60.0,5.0,24 нояб.,1696
4-комнатная квартира · 187 м² · 3/3 этаж,270000000,Алматы,,2023.0,4,187.0,3.0,24 нояб.,920
6-комнатная квартира · 286 м² · 5/7 этаж,330000000,Алматы,,2001.0,6,286.0,5.0,24 нояб.,239
5-комнатная квартира · 270 м² · 1/3 этаж,267000000,Алматы,,2010.0,5,270.0,1.0,24 нояб.,3147
2-комнатная квартира · 61.3 м² · 12/13 этаж,38888888,Алматы,,2024.0,2,61.3,12.0,24 нояб.,777
3-комнатная квартира · 72 м² · 8/12 этаж,39700000,Алматы,,2020.0,3,72.0,8.0,24 нояб.,284
2-комнатная квартира · 50 м² · 3/6 этаж,25000000,Алматы,,2019.0,2,50.0,3.0,24 нояб.,3257
4-комнатная квартира · 150 м² · 9/13 этаж,90000000,Алматы,,2005.0,4,150.0,9.0,24 нояб.,1311
2-комнатная квартира · 65 м² · 4/9 этаж,47000000,Алматы,,2013.0,2,65.0,4.0,24 нояб.,2771
1-комнатная квартира · 47.6 м²,33320000,Алматы,,2025.0,1,47.6,,24 нояб.,6348
2-комнатная квартира · 65.28 м²,39820800,Алматы,,2025.0,2,65.28,,24 нояб.,3169
3-комнатная квартира · 132 м² · 9/13 этаж,104000000,Алматы,,2014.0,3,132.0,9.0,24 нояб.,2904
5-комнатная квартира · 112 м²,48000000,Алматы,,2010.0,5,112.0,,24 нояб.,1487
3-комнатная квартира · 69 м² · 5/9 этаж,47500000,Алматы,,2001.0,3,69.0,5.0,24 нояб.,3657
3-комнатная квартира · 90 м² · 10/13 этаж,57000000,Алматы,,2020.0,3,90.0,10.0,24 нояб.,1020
2-комнатная квартира · 85.2 м² · 15/15 этаж,39500000,Алматы,,2015.0,2,85.2,15.0,24 нояб.,363
3-комнатная квартира · 90 м² · 4/15 этаж,115000000,Алматы,,2023.0,3,90.0,4.0,24 нояб.,1409
4-комнатная квартира · 122 м² · 11/16 этаж,130000000,Алматы,,2019.0,4,122.0,11.0,24 нояб.,1002
3-комнатная квартира · 123 м²,119000000,Алматы,,2019.0,3,123.0,,24 нояб.,1029
2-комнатная квартира · 44.7 м² · 2/3 этаж,24000000,Алматы,,1968.0,2,44.7,2.0,24 нояб.,326
2-комнатная квартира · 51 м² · 4 этаж,55000000,Алматы,,2021.0,2,51.0,4.0,24 нояб.,694
2-комнатная квартира · 52 м² · 9/16 этаж,43500000,Алматы,,2012.0,2,52.0,9.0,24 нояб.,36
3-комнатная квартира · 97 м² · 10/12 этаж,85000000,Алматы,,2019.0,3,97.0,10.0,24 нояб.,349
2-комнатная квартира · 93 м² · 5/12 этаж,57000000,Алматы,,2018.0,2,93.0,5.0,24 нояб.,1407
2-комнатная квартира · 75 м² · 9/14 этаж,56000000,Алматы,,2008.0,2,75.0,9.0,24 нояб.,409
2-комнатная квартира · 38 м² · 8/12 этаж,37000000,Алматы,,2016.0,2,38.0,8.0,24 нояб.,120
1-комнатная квартира · 41 м² · 7/9 этаж,33000000,Алматы,,2008.0,1,41.0,7.0,24 нояб.,957
3-комнатная квартира · 80 м² · 5/9 этаж,40500000,Алматы,,2011.0,3,80.0,5.0,24 нояб.,6713
2-комнатная квартира · 45.6 м² · 1/2 этаж,23000000,Алматы,,2018.0,2,45.6,1.0,24 нояб.,2159
2-комнатная квартира · 49 м² · 3/5 этаж,18500000,Алматы,,1970.0,2,49.0,3.0,24 нояб.,16688
2-комнатная квартира · 54 м² · 8/9 этаж,35500000,Алматы,,1994.0,2,54.0,8.0,24 нояб.,281
2-комнатная квартира · 50 м² · 6/9 этаж,27000000,Алматы,,2011.0,2,50.0,6.0,24 нояб.,1061
1-комнатная квартира · 41 м² · 8/16 этаж,26000000,Алматы,,2020.0,1,41.0,8.0,24 нояб.,758
2-комнатная квартира · 50 м² · 2/15 этаж,48500000,Алматы,,2023.0,2,50.0,2.0,24 нояб.,437
2-комнатная квартира · 60 м² · 1/9 этаж,39500000,Алматы,,1991.0,2,60.0,1.0,24 нояб.,214
3-комнатная квартира · 62 м² · 5/5 этаж,36000000,Алматы,,1974.0,3,62.0,5.0,24 нояб.,359
3-комнатная квартира · 76 м² · 3/18 этаж,45000000,Алматы,,2012.0,3,76.0,3.0,24 нояб.,4455
1-комнатная квартира · 31.3 м² · 2/5 этаж,21000000,Алматы,,1984.0,1,31.3,2.0,24 нояб.,1490
3-комнатная квартира · 84.8 м² · 7/16 этаж,49999999,Алматы,,2020.0,3,84.8,7.0,24 нояб.,998
3-комнатная квартира · 76.6 м² · 8/8 этаж,35500000,Алматы,,2008.0,3,76.6,8.0,24 нояб.,28
2-комнатная квартира · 70 м² · 5/6 этаж,56000000,Алматы,,2010.0,2,70.0,5.0,24 нояб.,370
1-комнатная квартира · 33 м² · 1/4 этаж,16500000,Алматы,,1963.0,1,33.0,1.0,24 нояб.,44
1-комнатная квартира · 28 м² · 6/10 этаж,19500000,Алматы,,2022.0,1,28.0,6.0,24 нояб.,1968
3-комнатная квартира · 79.2 м² · 1/9 этаж,55000000,Алматы,,2008.0,3,79.2,1.0,24 нояб.,230
2-комнатная квартира · 55.6 м² · 4/4 этаж,55000000,Алматы,,2023.0,2,55.6,4.0,24 нояб.,5108
2-комнатная квартира · 75 м² · 7/16 этаж,49000000,Алматы,,2020.0,2,75.0,7.0,24 нояб.,43
1-комнатная квартира · 36 м² · 2/5 этаж,22500000,Алматы,,1986.0,1,36.0,2.0,24 нояб.,8203
4-комнатная квартира · 140.9 м²,141489000,Алматы,,2024.0,4,140.9,,24 нояб.,17639
4-комнатная квартира · 118.5 м²,73470000,Алматы,,2025.0,4,118.5,,24 нояб.,7169
1-комнатная квартира · 27 м² · 3/9 этаж,18800000,Алматы,,2023.0,1,27.0,3.0,24 нояб.,952
2-комнатная квартира · 47 м² · 5/5 этаж,27500000,Алматы,,1973.0,2,47.0,5.0,24 нояб.,1047
2-комнатная квартира · 69 м² · 9/9 этаж,58000000,Алматы,,1975.0,2,69.0,9.0,24 нояб.,1341
1-комнатная квартира · 30 м² · 8/9 этаж,17300000,Алматы,,2011.0,1,30.0,8.0,24 нояб.,3169
4-комнатная квартира · 125 м² · 4/9 этаж,95000000,Алматы,,1981.0,4,125.0,4.0,24 нояб.,20529
4-комнатная квартира · 145 м² · 2/6 этаж,155000000,Алматы,,1999.0,4,145.0,2.0,24 нояб.,618
3-комнатная квартира · 73.6 м² · 4/9 этаж,54000000,Алматы,,1988.0,3,73.6,4.0,24 нояб.,2421
2-комнатная квартира · 91 м² · 3/22 этаж,155000000,Алматы,,2015.0,2,91.0,3.0,24 нояб.,1001
2-комнатная квартира · 73 м² · 13/19 этаж,36000000,Алматы,,2012.0,2,73.0,13.0,24 нояб.,176
3-комнатная квартира · 75.5 м² · 8/9 этаж,48000000,Алматы,,2017.0,3,75.5,8.0,24 нояб.,197
1-комнатная квартира · 30 м² · 6/9 этаж,17800000,Алматы,,2010.0,1,30.0,6.0,24 нояб.,6575
4-комнатная квартира · 105.3 м² · 5/13 этаж,86900000,Алматы,,2020.0,4,105.3,5.0,24 нояб.,967
3-комнатная квартира · 86 м² · 12/16 этаж,61500000,Алматы,,2015.0,3,86.0,12.0,24 нояб.,645
2-комнатная квартира · 55 м² · 5/5 этаж,25990000,Алматы,,1990.0,2,55.0,5.0,24 нояб.,1744
1-комнатная квартира · 34 м² · 2/5 этаж,16500000,Алматы,,2011.0,1,34.0,2.0,24 нояб.,6
2-комнатная квартира · 67.5 м² · 8/13 этаж,53000000,Алматы,,2020.0,2,67.5,8.0,24 нояб.,1946
1-комнатная квартира · 40.8 м² · 5/9 этаж,23500000,Алматы,,2023.0,1,40.8,5.0,24 нояб.,690
4-комнатная квартира · 100 м²,68000000,Алматы,,2018.0,4,100.0,,24 нояб.,961
3-комнатная квартира · 62.6 м² · 3/5 этаж,37500000,Алматы,,1974.0,3,62.6,3.0,24 нояб.,3408
3-комнатная квартира · 74 м²,22200000,Алматы,,2027.0,3,74.0,,24 нояб.,26448
1-комнатная квартира · 39.9 м²,16758000,Алматы,,2023.0,1,39.9,,24 нояб.,6990
4-комнатная квартира · 134.56 м²,191075200,Алматы,,2024.0,4,134.56,,24 нояб.,2982
4-комнатная квартира · 137.65 м²,214300000,Алматы,,2023.0,4,137.65,,24 нояб.,7315
2-комнатная квартира · 103.56 м²,139806000,Алматы,,2025.0,2,103.56,,24 нояб.,907
3-комнатная квартира · 138.7 м² · 5/10 этаж,110000000,Алматы,,2013.0,3,138.7,5.0,24 нояб.,1145
1-комнатная квартира · 35 м² · 2/5 этаж,29200000,Алматы,,1975.0,1,35.0,2.0,24 нояб.,942
2-комнатная квартира · 57 м² · 2/5 этаж,35000000,Алматы,,1993.0,2,57.0,2.0,24 нояб.,2189
3-комнатная квартира · 65 м² · 4/9 этаж,44500000,Алматы,,2014.0,3,65.0,4.0,24 нояб.,6290
